ICAO,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Агломерация,ППмакс,Обслуживание,Взлётпос,Пользование,Безопасность,Дата
UEMU,ОЧП,АН,False,Усть-Мая,10676,79.6,30.4,0,2,5240,8384.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UEMT,ОЧП,АН,False,Усть-Нера,12484,33.65,66.08,0,2,5542,8867.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UHPU,ОЧП,АН,False,Усть-Хайрюзово,3696,15.5,18.31,0,3,1122,1795.0,,,,,
USDM,ОЧП,АН,True,Утренний,0,0.0,0.0,0,1,196,314.0,,,,,
UWUU,ОЧП,УА,False,Уфа,2794407,4390.83,787.43,64200,1,1745128,2792205.0,123.0,385.0,34.0,270.0,18 января 2019
UHHH,ОЧП,УА,True,Хабаровск (Новый),2047092,24075.79,2161.88,64262,1,773186,1237098.0,156.0,380.0,115.0,250.0,18 октября 2019
UEMH,ОЧП,АН,False,Хандыга (Теплый Ключ),1889,14.76,10.24,0,2,8893,14229.0,,,,,
USHH,ОЧП,УА,True,Ханты-Мансийск,254537,597.79,332.46,62312,1,108096,172954.0,,,,,
UOHH,ОЧП,АН,True,Хатанга,23522,2980.11,44.6,90156,1,3565,5704.0,337.0,858.0,104.0,229.0,20 июля 2016
UHNH,ОЧП,АН,False,Херпучи,730,3.28,4.39,0,3,4275,6840.0,612.5,2113.3,275.3,942.4,10 января 2019
UIAR,ОЧП,АН,True,Чара,9035,43.67,16.4,0,1,6485,10376.0,,,,,
UWKS,ОЧП,УА,True,Чебоксары,251780,0.0,0.0,65781,1,1901823,3042917.0,249.22,514.46,61.42,253.6,21 января 2019
USCC,ОЧП,УА,True,Челябинск (Баландино),1469769,2948.63,957.92,61945,1,2212754,3540406.0,212.4,672.0,94.8,324.0,21 октября 2019
ULWC,ОЧП,УА,True,Череповец,149068,30.86,0.0,52500,1,478610,765776.0,180.0,1200.0,160.0,390.0,21 октября 2019
